266 0.2208
4.23 0.0000 0.0000
4.23 0.0000 0.0000
4.21 -0.3067 0.0552
4.21 0.0000 0.0000
4.23 0.3067 -0.0552
4.23 0.0000 0.0000
4.24 0.3067 -0.0552
4.23 -0.3067 0.0552
4.24 0.3067 -0.0552
4.23 -0.3067 0.0552
4.26 0.6133 -0.1104
4.24 -0.3067 0.0552
4.26 0.3067 -0.0552
4.26 0.0000 0.0000
4.27 0.3067 -0.0552
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.26 -0.3067 0.0552
4.27 0.3067 -0.0552
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
4.27 0.0000 0.0000
